City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
237,sibolga,100,IT,1602724167,90,46.02,11.91,44.01,4.25
238,broken hill,1,US,1602724058,9,37.1,-113.58,89.6,13.87
239,sorland,0,RU,1602724167,81,47.51,40.11,50,2.24
240,pisco,59,EG,1602724167,60,28.42,30.78,71.91,14.45
241,waingapu,1,US,1602724767,87,40.87,-72.8,59,11.01
242,vila velha,1,US,1602724769,72,41.14,-73.36,62.6,3.36
243,tautira,40,MX,1602724771,44,20.35,-102.77,78.8,4.7
244,port alfred,40,AU,1602724773,30,-32.5,137.77,87.01,6.93
245,otane,0,RU,1602724780,37,50.1,128.05,35.6,8.95
246,beloha,99,HK,1602724770,73,22.29,114.16,80.01,4
247,honningsvag,1,US,1602724638,52,37.46,-122.43,89.6,17.22
248,kavieng,100,RU,1602724786,81,57.2,56.91,46.71,3.42
249,bambanglipuro,1,CA,1602724788,58,45.53,-77.1,53.6,3.36
250,praia da vitoria,0,UA,1602724791,86,50.48,30.9,42.8,4.47
251,bubaque,95,PG,1602724793,72,-6.32,155.48,79.92,1.21
252,ornskoldsvik,100,RU,1602724795,77,67.45,153.68,35.96,1.19
253,lake havasu city,75,PT,1602724797,77,32.67,-17.1,69.8,16.11
254,umm kaddadah,96,IN,1602724799,60,27.92,96.17,77.88,1.79
255,benjamin constant,0,AU,1602724801,33,-32.25,148.62,77,14.99
256,beyneu,20,MX,1602724673,74,20.51,-86.95,81,5.82
257,dong hoi,0,RO,1602724806,93,46.43,26.4,46.4,8.05
258,okhotsk,100,RU,1602724808,89,69.7,170.31,33.24,22.01
259,feltre,100,CI,1602724810,91,4.75,-6.64,76.44,7.07
260,saint george,36,BW,1602724812,53,-21.18,24.88,71.15,16.33
261,persianovskiy,20,MX,1602724817,78,18.73,-103.68,80.6,11.41
262,matay,100,AR,1602724819,40,-43.3,-65.1,54.73,22.59
263,suffolk,99,BR,1602724775,76,-29.68,-53.81,62.49,4.12
264,westport,86,PE,1602724823,93,-10.68,-76.27,38.01,2.1
265,ocotlan,100,CN,1602724825,85,18.8,110.4,80.78,17.11
266,port augusta,0,RU,1602724827,68,48.63,142.8,39.31,14.65
267,gurskoye,0,CL,1602724830,59,-28.57,-70.76,59.14,0.29
268,sentyabrskiy,90,BO,1602724832,61,-14.32,-67.38,80.73,2.33
269,tambovka,40,US,1602724836,74,25.79,-80.13,82.99,8.05
270,victoria,90,CA,1602724725,100,63.75,-68.51,33.8,17.22
271,half moon bay,75,JP,1602724842,66,39.27,141.88,55.4,2.24
272,orda,40,US,1602724845,43,20.79,-156.47,91.4,11.41
273,eganville,8,RU,1602724847,92,62.14,117.63,25.39,7.85
274,trebukhiv,90,US,1602724849,70,57.05,-135.33,48.2,9.17
275,panguna,78,CA,1602724851,75,60.75,-137.51,36.23,1.92
276,srednekolymsk,64,BR,1602724853,87,-1.94,-50.82,74.97,2.3
277,ponta do sol,1,US,1602724855,77,34.02,-84.36,66.99,6.82
278,tezu,40,MU,1602724857,94,-20.52,57.52,69.8,5.01
279,dubbo,75,VN,1602724860,88,15.88,108.33,80.6,3.36
280,cozumel,30,SB,1602724862,61,-8.77,160.7,87.08,5.77
281,asau,20,TR,1602724781,93,36.54,32,66.2,4.7
282,pevek,6,CA,1602724866,84,48.65,-53.11,51.01,7
283,san-pedro,0,BR,1602724868,78,-3.45,-44.78,77.58,5.73
284,mopipi,100,AR,1602724870,68,-27.8,-64.26,65.71,11.74
285,tsihombe,20,ID,1602724873,66,-5.32,119.37,87.8,2.24
286,coahuayana,98,ID,1602724875,81,-5.67,132.75,81.88,15.26
287,rawson,90,CA,1602724877,100,50.2,-66.38,46.4,8.05
288,santa maria,75,GB,1602724628,81,58.21,-6.39,48.2,3.36
289,cerro de pasco,40,AU,1602724881,53,-20.02,148.23,77,21.92
290,wanning,100,ID,1602724883,94,-3.37,135.48,75.43,2.89
291,makarov,29,BR,1602724885,78,-2.79,-49.67,77.04,1.74
292,vallenar,2,GN,1602724887,97,8.44,-10.33,68.61,1.81
293,reyes,20,NC,1602724788,61,-22.28,166.46,80.6,14.99
294,rungata,0,MZ,1602724892,67,-14.8,36.54,67.23,6.38
295,miami beach,99,SE,1602724894,70,57.64,18.3,50,18.34
296,guelengdeng,100,AO,1602724896,84,-11.21,13.84,72.68,4.43
297,iqaluit,71,FR,1602724898,81,46.09,3.45,44.6,4.7
298,kamaishi,100,AU,1602724900,96,-41.17,146.35,57,4
299,kihei,0,AR,1602724902,84,-38.55,-58.74,48,4
300,suntar,5,GL,1602724904,83,60.14,-45.24,37.06,0.38
301,sitka,5,US,1602724907,25,43.52,-114.32,50,10.29
302,haines junction,100,AU,1602724911,37,-34.73,135.87,76.26,20.62
303,portel,20,IL,1602724913,78,31.61,34.76,72,3.36
304,roswell,3,SO,1602724915,84,9.49,50.81,78.55,14.88
305,souillac,20,LK,1602724917,100,6.12,81.12,78.8,11.41
306,hoi an,75,SV,1602724922,100,13.28,-88.55,75.2,6.93
307,auki,100,CN,1602724926,67,34.08,119.72,63.23,8.01
308,alanya,1,CA,1602724928,58,45.9,-77.33,53.6,3.36
309,bonavista,90,US,1602724930,81,57.79,-152.41,48.2,3.36
310,arari,38,MV,1602724932,76,-0.6,73.08,82.27,12.19
311,santiago del estero,42,EC,1602724937,86,-2.23,-80.9,69.71,8.63
312,galesong,1,US,1602724921,78,25.9,-97.5,82.4,9.17
313,tual,98,FO,1602724941,67,61.47,-6.81,46.02,9.15
314,sept-iles,69,GL,1602724943,89,66.94,-53.67,33.96,8.68
315,stornoway,35,ZM,1602724945,88,-11.74,24.43,63.46,4.23
316,bowen,0,MX,1602724947,44,24.89,-105.07,63.5,5.39
317,nabire,90,CA,1602724950,100,50.1,-91.92,37.4,4.7
318,baiao,0,SS,1602724952,81,7.27,28.68,71.42,1.01
319,koindu,75,BB,1602724954,88,13.22,-59.52,75.2,9.17
320,noumea,100,IS,1602724956,82,64.89,-23.71,46.76,24.25
321,cuamba,0,GL,1602724958,88,60.92,-46.05,32,1.12
322,visby,1,US,1602724960,77,43.41,-124.22,62.01,13.87
323,sumbe,40,OM,1602724962,73,17.02,54.09,77,3.36
324,hauterive,54,RU,1602724965,98,65.82,87.98,23.13,8.3
325,devonport,79,GL,1602724967,81,64.18,-51.72,33.8,6.24
326,necochea,1,US,1602724969,83,28.71,-81.21,78.01,3.36
327,nanortalik,21,CO,1602724971,98,1.2,-70.17,72.1,1.99
328,hailey,100,ID,1602724973,63,-6.88,112.38,84.99,5.3
329,nguiu,30,SO,1602724978,85,4.12,43.89,72.32,14.9
330,port lincoln,40,PA,1602724980,88,9.55,-79.65,77,3.36
331,gat,0,PK,1602724984,24,31.22,72.98,70.52,2.59
332,bandarbeyla,100,RU,1602724986,95,57.8,158.67,41.31,13.8
333,hambantota,0,CL,1602724988,81,-37.62,-73.65,50.95,15.88
334,taburi,0,CN,1602724991,54,42.8,93.45,45.34,13.2
335,puerto el triunfo,76,RU,1602724993,95,63.93,31.65,32.43,6.69
336,viligili,100,CV,1602724995,76,14.9,-24.5,81.05,7.18
337,yunhe,0,AU,1602724997,14,-20.32,118.57,98.6,19.46
338,petawawa,0,NA,1602724871,91,-22.12,14.28,59,1.99
339,kodiak,57,CD,1602725001,93,-6.47,16.82,68.41,0.94
340,hithadhoo,1,US,1602724956,10,34.87,-111.76,80.6,6.93
341,attawapiskat,0,AU,1602724947,44,-35.35,150.47,77,10.29
342,la libertad,64,PE,1602725008,81,-11.1,-77.61,62.91,9.17
343,brownsville,40,IN,1602725012,94,8.13,77.3,80.6,2.24
344,vagur,20,JM,1602725014,74,17.88,-76.41,84.2,8.05
345,sisimiut,90,RU,1602725018,93,64.38,-173.3,39.2,15.66
346,mwinilunga,100,GB,1602725020,79,51.38,1.39,60.01,5.99
347,nuevo ideal,20,MU,1602725023,84,-20.01,57.66,70,3
348,sioux lookout,7,MG,1602725027,86,-14.27,50.17,70.83,7.14
349,tonj,20,AL,1602725029,76,41.19,19.56,57.2,3.36
350,bathsheba,3,PE,1602725031,79,-7.84,-79.15,64.58,5.88
351,olafsvik,97,NO,1602725033,76,70.86,29.09,41.04,22.19
352,narsaq,20,CO,1602725035,94,10.99,-74.95,78.8,2.24
353,north bend,75,PF,1602725038,69,-17.53,-149.33,82.4,9.17
354,salalah,0,PK,1602725044,25,31.79,71.1,72.48,4.45
355,turukhansk,95,MX,1602725046,87,19.48,-101.52,63,2.21
356,nuuk,2,AO,1602725048,84,-15.2,12.15,64.58,2.62
357,seminole,100,RU,1602725050,94,62.67,131.17,19.45,2.46
358,mitu,0,AR,1602725023,66,-45.87,-67.5,50,6.93
359,paciran,20,CA,1602725055,100,49.78,-74.85,37.4,2.24
360,balimo,20,RU,1602725057,80,56.45,138.17,30.24,12.77
361,xuddur,20,GF,1602725059,94,4.93,-52.33,77,1.12
362,portobelo,8,AU,1602725061,24,-30.32,149.78,78.8,8.05
